页码,评论者昵称,评论星级,评论时间,有用数,评论内容
10,Lydia Z.,5星,2021-05-31 16:19:49,0,猫咪老师胖得不像话，获得新称号“猫咪不倒翁”。夏目的友情破颜拳越发熟练。故事都好温暖哪~
10,Rabbitの胡萝卜,未知,2021-05-29 19:41:49,0,光是温柔就足够满分了
10,BoundFlow,4星,2021-06-05 20:11:00,0,一个东西能不忘初心的穿过漫长时间保留下来便更显的珍贵。
10,啊呜,4星,2021-05-26 23:34:59,1,安宁、温和，看夏目和猫团子的意义就是这些了吧
10,悟饭婆婆,3星,2021-06-01 21:33:34,0,人生简单又不简单。每次看夏目友人帐，总感觉是发生在夏日傍晚的故事，一切都很安静，如果可以一直平凡又简单快乐的活着，或许也是一件很好的事。
10,绿色毛毛虫,3星,2024-01-20 00:44:52,0,剧情平淡了一些，老套了一些…评分也太高了
10,然潘,4星,2021-07-22 08:51:20,0,渐行渐远的友谊，第二个故事好伤感。第一个故事有点太刻意去卖日系温暖了，我这个年龄已经看不太进去了。
10,Sunrise ℃,4星,2022-04-18 01:16:35,0,可能我老了
10,桃花坞主,5星,2022-12-11 21:38:09,0,夏目发现了刻在石壁上的星星点点，想到如果是和娘扣三三一起看该多好~妖怪的生命线那么长，但能陪伴一段短暂的时间，也是好的。
10,徐乐乐爱旅行,4星,2021-07-11 17:40:35,0,其实我并不爱看日本鬼神动漫，有点害怕。只是日本动漫版拍得不是很恐怖，反而很温馨立志。但本质还是鬼片。
10,圆山中庸,5星,2021-06-05 10:32:18,0,怎么会有动画能十三年来始终如一的这么好看呢？平淡里的环环相扣，从来没有因为时间的流逝而有任何一个角色掉队。看到田沼的故事又想起了每次进入缓慢流动的乡间生活之中，幸福平和的心情。夏目，一生的心灵归宿！
10,laka,4星,2021-05-28 09:49:55,0,一如既往的日常比较平淡一点的故事
